Title,Actors
Sinners,Miles CatonSaul WilliamsAndrene Ward-Hammond
Havoc,Tom HardyJessie Mei LiJustin Cornwell
Another Simple Favor,Blake LivelyAnna KendrickAllison Janney
The Accountant 2,Ben AffleckJon BernthalCynthia Addai-Robinson
Conclave,Ralph FiennesStanley TucciJohn Lithgow
Exterritorial,Jeanne GoursaudDougray ScottLera Abova
A Minecraft Movie,Jason MomoaJack BlackSebastian Hansen
Until Dawn,Ella RubinMichael CiminoOdessa A'zion
Drop,Meghann FahyBrandon SklenarViolett Beane
Death of a Unicorn,Jenna OrtegaPaul RuddDavid Pasquesi
A Simple Favor,Anna KendrickBlake LivelyHenry Golding
Weapons,Julia GarnerJosh BrolinToby Huss
Warfare,D'Pharaoh Woon-A-TaiWill PoulterCosmo Jarvis
The Accountant,Ben AffleckAnna KendrickJ.K. Simmons
Snow White,Rachel ZeglerEmilia FaucherGal Gadot
Companion,Sophie ThatcherJack QuaidLukas Gage
Raid 2,Ajay DevgnTamannaah BhatiaJacqueline Fernandez
Black Bag,Michael FassbenderGustaf SkarsgårdCate Blanchett
Ash,Eiza GonzálezAaron PaulIko Uwais
Babygirl,Nicole KidmanHarris DickinsonAntonio Banderas
The Amateur,Rami MalekRachel BrosnahanJon Bernthal
Mickey 17,Robert PattinsonSteven YeunMichael Monroe
Mission: Impossible - The Final Reckoning,Tom CruisePom KlementieffHayley Atwell
Star Wars: Episode III - Revenge of the Sith,Hayden ChristensenNatalie PortmanEwan McGregor
Anora,Mikey MadisonPaul WeissmanYura Borisov
Final Destination: Bloodlines,April TelekTony ToddBrec Bassinger
Rust,Alec BaldwinJosh HopkinsPatrick Scott McDermott
Freaky Tales,Pedro PascalBen MendelsohnJay Ellis
The Four Seasons,Alan AldaCarol BurnettLen Cariou
Captain America: Brave New World,Anthony MackieHarrison FordDanny Ramirez
A Working Man,Jason StathamJason FlemyngMerab Ninidze
A Complete Unknown,Timothée ChalametEdward NortonElle Fanning
Gladiator II,Paul MescalDenzel WashingtonPedro Pascal
Nosferatu,Lily-Rose DeppNicholas HoultBill Skarsgård
The Substance,Demi MooreMargaret QualleyDennis Quaid
Bullet Train Explosion,Tsuyoshi KusanagiKanata HosodaNon
iHostage,Soufiane MoussouliAdmir SehovicEmmanuel Ohene Boafo
Neighborhood Watch,Jack QuaidJeffrey Dean MorganMalin Akerman
Heretic,Hugh GrantSophie ThatcherChloe East
The Monkey,Theo JamesTatiana MaslanyChristian Convery
The Surfer,Nicolas CageFinn LittleRahel Romahn
Locked,Bill SkarsgårdAnthony HopkinsAshley Cartwright
Winter Spring Summer or Fall,Jenna OrtegaPercy Hynes WhiteAdam Rodriguez
The Gorge,Miles TellerAnya Taylor-JoySigourney Weaver
Gladiator,Russell CroweJoaquin PhoenixConnie Nielsen
Novocaine,Jack QuaidAmber MidthunderRay Nicholson
Pride & Prejudice,Keira KnightleyMatthew MacfadyenBrenda Blethyn
The Life List,Sofia CarsonKyle AllenSebastian De Souza
Rogue One: A Star Wars Story,Felicity JonesDiego LunaAlan Tudyk
28 Years Later,Jack O'ConnellRalph FiennesAaron Taylor-Johnson
Together,Dave FrancoAlison BrieDamon Herriman
The Shawshank Redemption,Tim RobbinsMorgan FreemanBob Gunton
G20,Viola DavisAnthony AndersonRamón Rodríguez
Jewel Thief: The Heist Begins,Jaideep AhlawatGagan AroraIvana Brcan
The Order,Jude LawNicholas HoultTye Sheridan
Last Breath,Woody HarrelsonSimu LiuFinn Cole
The Electric State,Chris PrattMillie Bobby BrownWoody Harrelson
Lilo & Stitch,Billy MagnussenHannah WaddinghamTia Carrere
Now You See Me,Jesse EisenbergCommonMark Ruffalo
Den of Thieves: Pantera,Gerard ButlerO'Shea Jackson Jr.Evin Ahmad
How to Train Your Dragon,Mason ThamesNico ParkerGerard Butler
Oppenheimer,Cillian MurphyEmily BluntMatt Damon
The Friend,Bill MurrayNaomi WattsCloé Xhauflaire
