Title,Actors
Sinners,"['Miles Cato', 'nSaul William']"
Havoc,"['Tom Hard', 'yJessie Mei L']"
Another Simple Favor,"['Blake Livel', 'yAnna Kendric']"
The Accountant 2,"['Ben Afflec', 'kJon Berntha']"
Conclave,"['Ralph Fienne', 'sStanley Tucc']"
Exterritorial,"['Jeanne Goursau', 'dDougray Scot']"
A Minecraft Movie,"['Jason Momo', 'aJack Blac']"
Until Dawn,"['Ella Rubi', 'nMichael Cimin']"
Drop,"['Meghann Fah', 'yBrandon Sklena']"
Death of a Unicorn,"['Jenna Orteg', 'aPaul Rud']"
A Simple Favor,"['Anna Kendric', 'kBlake Livel']"
Weapons,"['Julia Garne', 'rJosh Broli']"
Warfare,"[""D'Pharaoh Woon-A-Ta"", 'iWill Poulte']"
The Accountant,"['Ben Afflec', 'kAnna Kendric']"
Snow White,"['Rachel Zegle', 'rEmilia Fauche']"
Companion,"['Sophie Thatche', 'rJack Quai']"
Raid 2,"['Ajay Devg', 'nTamannaah Bhati']"
Black Bag,"['Michael Fassbende', 'rGustaf Skarsgår']"
Ash,"['Eiza Gonzále', 'zAaron Pau']"
Babygirl,"['Nicole Kidma', 'nHarris Dickinso']"
The Amateur,"['Rami Male', 'kRachel Brosnaha']"
Mickey 17,"['Robert Pattinso', 'nSteven Yeu']"
Mission: Impossible - The Final Reckoning,"['Tom Cruis', 'ePom Klementief']"
Star Wars: Episode III - Revenge of the Sith,"['Hayden Christense', 'nNatalie Portma', 'nEwan M']"
Anora,"['Mikey Madiso', 'nPaul Weissma']"
Final Destination: Bloodlines,"['April Tele', 'kTony Tod']"
Rust,"['Alec Baldwi', 'nJosh Hopkin', 'sPatrick Scott M']"
Freaky Tales,"['Pedro Pasca', 'lBen Mendelsoh']"
The Four Seasons,"['Alan Ald', 'aCarol Burnet']"
Captain America: Brave New World,"['Anthony Macki', 'eHarrison For']"
A Working Man,"['Jason Statha', 'mJason Flemyn']"
A Complete Unknown,"['Timothée Chalame', 'tEdward Norto']"
Gladiator II,"['Paul Mesca', 'lDenzel Washingto']"
Nosferatu,"['Lily-Rose Dep', 'pNicholas Houl']"
The Substance,"['Demi Moor', 'eMargaret Qualle']"
Bullet Train Explosion,"['Tsuyoshi Kusanag', 'iKanata Hosod']"
iHostage,"['Soufiane Moussoul', 'iAdmir Sehovi']"
Neighborhood Watch,"['Jack Quai', 'dJeffrey Dean Morga']"
Heretic,"['Hugh Gran', 'tSophie Thatche']"
The Monkey,"['Theo Jame', 'sTatiana Maslan']"
The Surfer,"['Nicolas Cag', 'eFinn Littl']"
Locked,"['Bill Skarsgår', 'dAnthony Hopkin']"
Winter Spring Summer or Fall,"['Jenna Orteg', 'aPercy Hynes Whit']"
The Gorge,"['Miles Telle', 'rAnya Taylor-Jo']"
Gladiator,"['Russell Crow', 'eJoaquin Phoeni']"
Novocaine,"['Jack Quai', 'dAmber Midthunde']"
Pride & Prejudice,"['Keira Knightle', 'yMatthew Macfadye']"
The Life List,"['Sofia Carso', 'nKyle Alle']"
Rogue One: A Star Wars Story,"['Felicity Jone', 'sDiego Lun']"
28 Years Later,"[""Jack O'Connel"", 'lRalph Fienne']"
Together,"['Dave Franc', 'oAlison Bri']"
The Shawshank Redemption,"['Tim Robbin', 'sMorgan Freema']"
G20,"['Viola Davi', 'sAnthony Anderso']"
Jewel Thief: The Heist Begins,"['Jaideep Ahlawa', 'tGagan Aror']"
The Order,"['Jude La', 'wNicholas Houl']"
Last Breath,"['Woody Harrelso', 'nSimu Li']"
The Electric State,"['Chris Prat', 'tMillie Bobby Brow']"
Lilo & Stitch,"['Billy Magnusse', 'nHannah Waddingha']"
Now You See Me,"['Jesse Eisenber', 'gCommo']"
Den of Thieves: Pantera,['Gerard Butle']
How to Train Your Dragon,"['Mason Thame', 'sNico Parke']"
Oppenheimer,"['Cillian Murph', 'yEmily Blun']"
The Friend,"['Bill Murra', 'yNaomi Watt']"
Wicked,"['Cynthia Eriv', 'oAriana Grand']"
The King of Kings,"['Pierce Brosna', 'nForest Whitake']"
The Brutalist,"['Adrien Brod', 'yFelicity Jone']"
Cleaner,"['Poppy Townsend Whit', 'eClive Owe']"
Interstellar,"['Matthew M', 'cConaughe', 'yAnne Hathawa']"
The Godfather,"['Marlon Brand', 'oAl Pacin']"
Barbarian,"['Georgina Campbel', 'lBill Skarsgår']"
Black Widow,"['Scarlett Johansso', 'nFlorence Pug']"
The Penguin Lessons,"['Steve Cooga', 'nJonathan Pryc']"
From the World of John Wick: Ballerina,"['Ana de Arma', 'sKeanu Reeve']"
Twisters,"['Daisy Edgar-Jone', 'sGlen Powel']"
The Two Popes,"['Jonathan Pryc', 'eAnthony Hopkin']"
Once Upon a Time... in Hollywood,"['Leonardo D', 'iCapri', 'oBrad Pit']"
Top Gun: Maverick,"['Tom Cruis', 'eJennifer Connell']"
Mufasa: The Lion King,['Aaron Pierr']
Salvable,"['Shia L', 'aBeou', 'fToby Kebbel']"
The Legend of Ochi,"['Helena Zenge', 'lWillem Dafo']"
