Title,Description
Sinners,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back."
Havoc,
Another Simple Favor,"Stephanie Smothers and Emily Nelson reunite on the island of Capri, Italy for Emily's extravagant wedding to a rich Italian businessman, which is interrupted by murder and betrayal."
The Accountant 2,Christian Wolff applies his brilliant mind and illegal methods to reconstruct the unsolved puzzle of a Treasury chief's murder.
Conclave,
Exterritorial,"When a soldier's son vanishes at a US consulate, she illegally remains on the premises to search for him, unknowingly entangling herself in a dangerous conspiracy."
A Minecraft Movie,"A man named Steve breaks into a mine to discover the Orb of dominance and the Earth Crystal and he uses them to enter the overworld. Steve builds a paradise all for himself, when he stumbles across a portal which transports him to the Nether. Whilst in the Nether, Steve is seized by the Piglin leader named Malgosha. Unfortunately, Malgosha wants to destroy the overworld as revenge for being criticized during the overworld talent show. Steve gets his dog Dennis to hide the orb to prevent anyone else from entering.

In the present day, a man named Garrett ""the garbage man"" wins a contest and opens up his own game store. One day, Garrett receives an eviction notice and goes out to find some stuff to sell for money, including the contents of Steve's old house. In his search for items, Garrett comes across both the orb and the Earth Crystal. Meanwhile, Henry and Natalie have recently lost their parents and have moved to Idaho and they meet with a real estate agent who wants to open their own petting zoo. Unfortunately, Henry is told off on his first day of school after his jetpack goes haywire and knocks over a mascot on top of a potato chip factory. Henry pretends that Garrett is his uncle to avoid getting into any more trouble and unintentionally reactivates the portal by combining the orb and Earth Crystal. Henry and Garrett are transported to the mines, ultimately causing Natalie to worry. Natalie and Dawn join the others and the quartet arrive in the overworld. Malgosha is informed about others entering and she realizes Steve from his prison cell to retrieve it.

The four fight off monsters at night and Henry learns how to build and creates a fortress. While attempting to enter, Garrett accidentally breaks the orb and as the sun begins to rise, Steve comes to rescue them. Steve then tells them to go to the woodland mansion to replace the orb. Steve comes with them to a nearby village and demonstrates how to craft, before being separated from each other in a piglin attack. Steve, Henry and Garrett narrowly escape from a ghast by defeating it, whilst Natalie and Dawn discover Dennis the dog, who promises to reunite them with Steve. Piglin retaliates by realeasing the great hog.

The great hog hunts down n the boys who escape in mine carts. To add insult to injury, the great hog is blown up by a bunch of creepers. Upon arrival at the mansion, Steve and Garrett put on mushroom hats to distract the pillagers by throwing a birthday party, allowing Henry to take both the Earth Crystal and the ender pearl. Piglin sends out a new great hog, who blows up the bridge leading to the mansion. Steve and Henry escape whilst Garrett sacrifices himself, but ultimately survives the explosion anyway. Inside a mushroom house, they all reconcile, while Piglin possesses the Orb of Dominance and enhances its power, declaring war on the overworld.

The five friends craft an arsenal of weapons along with a group of Iron Golems and plan to fight Piglin back. Malgosha tries several surprise attacks on Steve, but ultimately dies and the quintet arrive back at the Earth Portal, before Steve hands Dennis over to Dawn. Back on Earth, the five become quite successful and create their own video game called Block City Battle Buddies, whilst Dawn opens a zoo with Dennis, Natalie teaches self defense, Henry finally accomplishes building his jetpack and Steve and Garrett make music together in Garretts store. Steve returns to his old home in the real world to collect a chest he'd left in the attic, when he met with the current owner of the house, a woman named Alex."
Until Dawn,"A group of friends trapped in a time loop, where mysterious foes chase and kill them in gruesome ways, must survive until dawn to escape it."
Drop,
Death of a Unicorn,"A father and daughter accidentally hit and kill a unicorn while en route to a weekend retreat, where his billionaire boss seeks to exploit the creature's miraculous curative properties."
A Simple Favor,
Weapons,"When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance."
Warfare,"A platoon of Navy SEALs embark on a dangerous mission in Ramadi, Iraq, with the chaos and brotherhood of war retold through their memories of the event."
The Accountant,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise."
Snow White,A princess joins forces with seven dwarfs and a group of rebels to liberate her kingdom from her cruel stepmother the Evil Queen.
Companion,A weekend getaway with friends at a remote cabin turns into chaos after it's revealed that one of the guests is not what they seem.
Raid 2,
Black Bag,
Ash,A woman wakes up on a distant planet and finds the crew of her space station viciously killed. Her investigation into what happened sets in motion a terrifying chain of events.
Babygirl,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much-younger intern.
The Amateur,"When his supervisors at the CIA refuse to take action after his wife is killed in a London terrorist attack, a decoder takes matters into his own hands."
Mickey 17,"During a human expedition to colonize space, Mickey 17, a so-called ""expendable"" employee, is sent to explore an ice planet."
Mission: Impossible - The Final Reckoning,Our lives are the sum of our choices. Tom Cruise is Ethan Hunt in Mission: Impossible - The Final Reckoning.
Star Wars: Episode III - Revenge of the Sith,"As the Clone Wars nears its end, Obi-Wan Kenobi pursues a new threat, while Anakin Skywalker is lured by Chancellor Palpatine into a sinister plot for galactic domination."
Anora,
Final Destination: Bloodlines,
Rust,
Freaky Tales,"Four interconnected stories set in 1987 Oakland, CA. will tell about the love of music, movies, people, places and memories beyond our knowable universe."
The Four Seasons,
Captain America: Brave New World,"Sam Wilson, the new Captain America, finds himself in the middle of an international incident and must discover the motive behind a nefarious global plan."
A Working Man,
A Complete Unknown,
Gladiator II,
Nosferatu,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake."
The Substance,"A fading celebrity takes a black-market drug: a cell-replicating substance that creates a younger, better version of herself."
Bullet Train Explosion,A group who straps bombs to a Japanese bullet train in an attempt to extort money from the government.
iHostage,"When a gunman enters an Apple Store in the heart of Amsterdam, the police face a delicate challenge to resolve the standoff. Based on true events."
Neighborhood Watch,
Heretic,Two young religious women are drawn into a game of cat-and-mouse in the house of a strange man.
The Monkey,
The Surfer,
Locked,A thief breaking into a luxury SUV realizes that he has slipped into a sophisticated game of psychological horror.
Winter Spring Summer or Fall,
The Gorge,"Two highly-trained operatives become close after being sent to protect opposite sides of a mysterious gorge. When an evil emerges, they must work together to survive what lies within."
Gladiator,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
Novocaine,"When the girl of his dreams is kidnapped, a man incapable of feeling physical pain turns his rare condition into an unexpected advantage in the fight to rescue her."
Pride & Prejudice,
The Life List,"A woman revisits her childhood aspirations, endeavoring to achieve her old goals, only to discover that pursuing these lifelong dreams takes her on an unforeseen and surprising journey."
Rogue One: A Star Wars Story,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction."
28 Years Later,
Together,"A couple's move to the countryside triggers a supernatural incident that drastically alters their relationship, existence and physical form."
The Shawshank Redemption,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion."
G20,"Terrorists take over the G20 summit with President Sutton, bringing her governing and military experience to defend her family, company, and the world."
Jewel Thief: The Heist Begins,
The Order,
Last Breath,A true story that follows seasoned deep-sea divers as they battle the raging elements to rescue their crew mate trapped hundreds of feet below the ocean's surface.
The Electric State,"An orphaned teen hits the road with a mysterious robot to find her long-lost brother, teaming up with a smuggler and his wisecracking sidekick."
Lilo & Stitch,"A lonely Hawaiian girl befriends a runaway alien, helping to mend her fragmented family."
Now You See Me,"An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money."
Den of Thieves: Pantera,
How to Train Your Dragon,
Oppenheimer,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II."
The Friend,"When a solitary writer adopts and bonds with a Great Dane that belonged to a late friend, she begins to come to terms with her past and her own creative inner life."
Wicked,
The King of Kings,"Through a father's vivid storytelling, a boy journeys through Jesus' life, from humble beginnings to ultimate sacrifice. Along the way, he discovers the transformative power of faith."
The Brutalist,A visionary architect flees post-war Europe in 1947 for a brighter future in the United States and finds his life forever changed by a wealthy client.
Cleaner,"Criminal activists hijack a gala, taking 300 hostages. One extremist plans mass murder as a message to the world. An Ex-soldier turned window cleaner now works to rescue the hostages."
Interstellar,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
The Godfather,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
Barbarian,A woman staying at an Airbnb discovers that the house she has rented is not what it seems.
Black Widow,Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.
The Penguin Lessons,A disillusioned Englishman who goes to work in a school in a divided Argentina in 1976 finds his life transformed when he rescues an orphaned penguin from the beach.
From the World of John Wick: Ballerina,An assassin trained in the traditions of the Ruska Roma organization sets out to seek revenge after her father's death.
Twisters,"Kate Carter, a retired tornado-chaser and meteorologist, is persuaded to return to Oklahoma to work with a new team and new technologies."
The Two Popes,"Behind Vatican walls, the conservative Pope Benedict XVI and the liberal future Pope Francis must find common ground to forge a new path for the Catholic Church."
Once Upon a Time... in Hollywood,
Top Gun: Maverick,"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission."
Mufasa: The Lion King,
Salvable,An aging boxer struggles to escape the grasp of a small town while battling a fractured relationship with his teenage daughter.
The Legend of Ochi,
Kesari Chapter 2: The Untold Story of Jallianwala Bagh,"A dramatization of the life story of C. Sankaran Nair, the lawyer who fought for the truth behind the Jallianwala Bagh massacre."
Tombstone,"A successful lawman's plans to retire anonymously in Tombstone, Arizona, are disrupted by the kind of outlaws he was famous for eliminating."
Kraven the Hunter,
The Commitments,"Jimmy Rabbitte, an unemployed Dublin boy, decides to put together a soul band made up entirely of the Irish working class."
Deadpool & Wolverine,"Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction."
The Dark Knight,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness."
Trap,A father and his teen daughter attend a pop concert only to realize they've entered the center of a dark and sinister event.
Inception,
Karate Kid: Legends,
Deep Cover,Three improv actors are asked to go undercover by the police in London's criminal underworld.
A Real Pain,"Mismatched cousins reunite for a tour through Poland to honor their beloved grandmother, but their old tensions resurface against the backdrop of their family history."
Speak No Evil,"A family is invited to spend a whole weekend in a lonely home in the countryside, but as the weekend progresses, they realize that a dark side lies within the family who invited them."
Love,
Jurassic World Rebirth,"Five years post-Jurassic World Dominion, an expedition braves isolated equatorial regions to extract DNA from three massive prehistoric creatures for a groundbreaking medical breakthrough."
Star Wars: Episode IV - A New Hope,
Fear Street: Prom Queen,"When the ""it"" girls competing for prom queen at Shadyside High start to disappear, a gutsy outsider discovers she's in for one hell of a prom night."
Den of Thieves,An elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew clash as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.
Mission: Impossible - Dead Reckoning Part One,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.
Inglourious Basterds,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
Alien: Romulus,"While scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe."
Harry Potter and the Sorcerer's Stone,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
Titanic,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
Pulp Fiction,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
The Wild Robot,
Lolita,"An English professor falls for a minor, and has to face the consequences of his actions."
