Title,Genres
Sinners,"['Period Drama', 'Supernatural Horror', 'Vampire Horror', 'Action', 'Drama', 'Horror', 'Thriller']"
Havoc,"['Conspiracy Thriller', 'Drug Crime', 'Gun Fu', 'Martial Arts', 'One-Person Army Action', 'Suspense Mystery', 'Action', 'Crime', 'Drama', 'Mystery']"
Another Simple Favor,"['Dark Comedy', 'Whodunnit', 'Comedy', 'Crime', 'Mystery', 'Thriller']"
The Accountant 2,"['Whodunnit', 'Action', 'Crime', 'Drama', 'Mystery', 'Thriller']"
Conclave,"['Conspiracy Thriller', 'Drama', 'Thriller']"
Exterritorial,"['Action', 'Mystery', 'Thriller']"
A Minecraft Movie,"['Action Epic', 'Adventure Epic', 'Fantasy Epic', 'High-Concept Comedy', 'Quest', 'Slapstick', 'Survival', 'Action', 'Adventure', 'Comedy']"
Until Dawn,"['Psychological Drama', 'Psychological Horror', 'Slasher Horror', 'Splatter Horror', 'Supernatural Horror', 'Zombie Horror', 'Drama', 'Horror']"
Drop,"['Whodunnit', 'Drama', 'Mystery', 'Thriller']"
Death of a Unicorn,"['Dark Comedy', 'Dark Fantasy', 'Monster Horror', 'Comedy', 'Fantasy', 'Horror', 'Thriller']"
A Simple Favor,"['Dark Comedy', 'Psychological Thriller', 'Comedy', 'Crime', 'Mystery', 'Thriller']"
Weapons,"['Horror', 'Mystery']"
Warfare,"['Docudrama', 'War Epic', 'Action', 'Drama', 'War']"
The Accountant,"['Conspiracy Thriller', 'Martial Arts', 'One-Person Army Action', 'Action', 'Crime', 'Drama', 'Thriller']"
Snow White,"['Fairy Tale', 'Feel-Good Romance', 'Adventure', 'Family', 'Fantasy', 'Musical', 'Romance']"
Companion,"['Artificial Intelligence', 'Dark Comedy', 'Psychological Thriller', 'Sci-Fi', 'Thriller']"
Raid 2,"['Crime', 'Drama', 'Thriller']"
Black Bag,"['Spy', 'Drama', 'Mystery', 'Romance', 'Thriller']"
Ash,"['Alien Invasion', 'Monster Horror', 'Psychological Horror', 'Psychological Thriller', 'Space Sci-Fi', 'Survival', 'Horror', 'Sci-Fi', 'Thriller']"
Babygirl,"['Erotic Thriller', 'Workplace Drama', 'Drama', 'Romance', 'Thriller']"
The Amateur,"['Spy', 'Action', 'Thriller']"
Mickey 17,"['Alien Invasion', 'Dark Comedy', 'Space Sci-Fi', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']"
Mission: Impossible - The Final Reckoning,"['Adventure Epic', 'Action', 'Adventure', 'Thriller']"
Star Wars: Episode III - Revenge of the Sith,"['Action Epic', 'Adventure Epic', 'Dark Fantasy', 'Epic', 'Fantasy Epic', 'Sci-Fi Epic', 'Space Sci-Fi', 'Tragedy', 'Action', 'Adventure']"
Anora,"['Dark Comedy', 'Raunchy Comedy', 'Steamy Romance', 'Comedy', 'Drama', 'Romance']"
Final Destination: Bloodlines,"['Slasher Horror', 'Splatter Horror', 'Supernatural Horror', 'Horror']"
Rust,['Western']
Freaky Tales,"['Action', 'Adventure', 'Comedy', 'Crime', 'Drama']"
The Four Seasons,"['Comedy', 'Drama']"
Captain America: Brave New World,"['Action Epic', 'Adventure Epic', 'Sci-Fi Epic', 'Superhero', 'Action', 'Adventure', 'Sci-Fi']"
A Working Man,"['Conspiracy Thriller', 'One-Person Army Action', 'Action', 'Thriller']"
A Complete Unknown,"['Docudrama', 'Period Drama', 'Showbiz Drama', 'Biography', 'Drama', 'Music']"
Gladiator II,"['Action Epic', 'Adventure Epic', 'Epic', 'Period Drama', 'Sword & Sandal', 'Action', 'Adventure', 'Drama']"
Nosferatu,"['Dark Fantasy', 'Supernatural Horror', 'Vampire Horror', 'Fantasy', 'Horror', 'Mystery']"
The Substance,"['Body Horror', 'Dark Comedy', 'Monster Horror', 'Psychological Horror', 'Showbiz Drama', 'Drama', 'Horror', 'Sci-Fi']"
Bullet Train Explosion,"['Disaster', 'Action', 'Crime', 'Drama', 'Thriller']"
iHostage,"['Crime', 'Drama', 'Thriller']"
Neighborhood Watch,"['Crime', 'Thriller']"
Heretic,"['Psychological Horror', 'Psychological Thriller', 'Horror', 'Thriller']"
The Monkey,"['Dark Comedy', 'Splatter Horror', 'Horror']"
The Surfer,"['Psychological Thriller', 'Thriller']"
Locked,"['Psychological Thriller', 'Thriller']"
Winter Spring Summer or Fall,"['Coming-of-Age', 'Drama', 'Romance']"
