Title,Parental Rating
Sinners,R
Havoc,TV-MA
Another Simple Favor,R
The Accountant 2,R
Conclave,PG
Exterritorial,TV-MA
A Minecraft Movie,PG
Until Dawn,R
Drop,PG-13
Death of a Unicorn,R
A Simple Favor,R
Weapons,R
Warfare,R
The Accountant,R
Snow White,PG
Companion,R
Raid 2,
Black Bag,R
Ash,R
Babygirl,R
The Amateur,PG-13
Mickey 17,R
Mission: Impossible - The Final Reckoning,PG-13
Star Wars: Episode III - Revenge of the Sith,PG-13
Anora,R
Final Destination: Bloodlines,R
Rust,Not Rated
Freaky Tales,R
The Four Seasons,PG
Captain America: Brave New World,PG-13
A Working Man,R
A Complete Unknown,R
Gladiator II,R
Nosferatu,R
The Substance,R
Bullet Train Explosion,TV-14
iHostage,TV-MA
Neighborhood Watch,R
Heretic,R
The Monkey,R
The Surfer,R
Locked,R
Winter Spring Summer or Fall,R
The Gorge,PG-13
Gladiator,R
Novocaine,R
Pride & Prejudice,PG
The Life List,PG-13
Rogue One: A Star Wars Story,PG-13
28 Years Later,
Together,R
The Shawshank Redemption,R
G20,R
Jewel Thief: The Heist Begins,
The Order,R
Last Breath,PG-13
The Electric State,PG-13
Lilo & Stitch,PG
Now You See Me,PG-13
Den of Thieves: Pantera,R
How to Train Your Dragon,PG
Oppenheimer,R
The Friend,R
Wicked,PG
The King of Kings,PG
The Brutalist,R
Cleaner,R
Interstellar,PG-13
The Godfather,R
Barbarian,R
Black Widow,PG-13
The Penguin Lessons,PG-13
From the World of John Wick: Ballerina,
Twisters,PG-13
The Two Popes,PG-13
Once Upon a Time... in Hollywood,R
Top Gun: Maverick,PG-13
Mufasa: The Lion King,PG
Salvable,R
The Legend of Ochi,PG
Kesari Chapter 2: The Untold Story of Jallianwala Bagh,
Tombstone,R
Kraven the Hunter,R
The Commitments,R
Deadpool & Wolverine,R
The Dark Knight,PG-13
Trap,PG-13
Inception,PG-13
Karate Kid: Legends,
Deep Cover,R
A Real Pain,R
Speak No Evil,R
Love,TV-MA
Jurassic World Rebirth,PG-13
Star Wars: Episode IV - A New Hope,PG
Fear Street: Prom Queen,R
Den of Thieves,R
Mission: Impossible - Dead Reckoning Part One,PG-13
Inglourious Basterds,R
Alien: Romulus,R
Harry Potter and the Sorcerer's Stone,PG
Titanic,PG-13
Pulp Fiction,R
The Wild Robot,PG
Lolita,R
Mysterious Island,Approved
The Lord of the Rings: The Fellowship of the Ring,PG-13
Final Destination,R
Virgin Territory,R
Now You See Me 2,PG-13
The Wolf of Wall Street,R
Star Wars: Episode I - The Phantom Menace,PG
Dune: Part Two,PG-13
Avengers: Endgame,PG-13
The Hunger Games,PG-13
The Bhootnii,
Heat,R
The Truman Show,PG
Retro,
Fight or Flight,R
Flow,PG
The Alto Knights,R
Screamboat,Not Rated
The Woman in the Yard,PG-13
Moana 2,PG
The Ugly Stepsister,
Sonic the Hedgehog 3,PG
