Title,Rating
Sinners,7.8
Havoc,5.8
Another Simple Favor,6.8
The Accountant 2,7.3
Conclave,7.5
Exterritorial,5.7
A Minecraft Movie,1.6
Until Dawn,7.1
Drop,6.0
Death of a Unicorn,6.2
A Simple Favor,5.3
Weapons,7.8
Warfare,8.1
The Accountant,7.1
Snow White,5.9
Companion,7.0
Raid 2,6.8
Black Bag,6.5
Ash,5.8
Babygirl,6.9
The Amateur,7.1
Mickey 17,6.5
Mission: Impossible - The Final Reckoning,7.6
Star Wars: Episode III - Revenge of the Sith,6.6
Anora,7.3
Final Destination: Bloodlines,5.9
Rust,5.1
Freaky Tales,6.1
The Four Seasons,7.3
Captain America: Brave New World,6.9
A Working Man,6.5
A Complete Unknown,7.1
Gladiator II,8.5
Nosferatu,7.3
The Substance,7.5
Bullet Train Explosion,5.7
iHostage,6.3
Neighborhood Watch,6.3
Heretic,6.9
The Monkey,6.5
The Surfer,7.3
Locked,6.2
Winter Spring Summer or Fall,8.5
The Gorge,6.9
Gladiator,8.6
Novocaine,6.8
Pride & Prejudice,8.8
The Life List,6.7
Rogue One: A Star Wars Story,7.8
28 Years Later,6.9
Together,6.4
The Shawshank Redemption,9.2
G20,5.8
Jewel Thief: The Heist Begins,6.7
The Order,6.7
Last Breath,6.8
The Electric State,6.7
Lilo & Stitch,7.3
Now You See Me,6.4
Den of Thieves: Pantera,7.0
How to Train Your Dragon,8.1
Oppenheimer,8.7
The Friend,7.1
Wicked,7.3
The King of Kings,6.0
The Brutalist,7.5
Cleaner,6.6
Interstellar,8.8
The Godfather,9.0
Barbarian,6.5
Black Widow,7.3
The Penguin Lessons,6.5
From the World of John Wick: Ballerina,6.3
Twisters,6.6
The Two Popes,7.4
Once Upon a Time... in Hollywood,8.4
Top Gun: Maverick,7.0
Mufasa: The Lion King,6.8
Salvable,4.8
The Legend of Ochi,7.0
Kesari Chapter 2: The Untold Story of Jallianwala Bagh,7.4
Tombstone,8.3
Kraven the Hunter,6.0
The Commitments,6.7
Deadpool & Wolverine,8.0
The Dark Knight,8.4
Trap,2.1
Inception,8.7
Karate Kid: Legends,6.2
Deep Cover,7.8
A Real Pain,7.4
Speak No Evil,6.7
Love,6.9
Jurassic World Rebirth,5.6
Star Wars: Episode IV - A New Hope,8.7
Fear Street: Prom Queen,6.2
Den of Thieves,6.3
Mission: Impossible - Dead Reckoning Part One,7.7
Inglourious Basterds,8.5
Alien: Romulus,6.4
Harry Potter and the Sorcerer's Stone,7.4
Titanic,7.9
Pulp Fiction,8.8
The Wild Robot,7.5
Lolita,7.5
Mysterious Island,6.4
The Lord of the Rings: The Fellowship of the Ring,8.8
Final Destination,6.2
Virgin Territory,5.2
Now You See Me 2,7.2
The Wolf of Wall Street,8.2
