Title,Runtime
Sinners,2h 17m
Havoc,1h 47m
Another Simple Favor,2h
The Accountant 2,2h 12m
Conclave,2h
Exterritorial,1h 49m
A Minecraft Movie,1h 41m
Until Dawn,1h 43m
Drop,1h 35m
Death of a Unicorn,1h 47m
A Simple Favor,1h 57m
Weapons,2h 8m
Warfare,1h 35m
The Accountant,2h 8m
Snow White,1h 49m
Companion,1h 37m
Raid 2,
Black Bag,1h 33m
Ash,1h 35m
Babygirl,1h 54m
The Amateur,2h 2m
Mickey 17,2h 17m
Mission: Impossible - The Final Reckoning,2h 49m
Star Wars: Episode III - Revenge of the Sith,2h 20m
Anora,2h 19m
Final Destination: Bloodlines,1h 50m
Rust,2h 19m
Freaky Tales,1h 47m
The Four Seasons,1h 47m
Captain America: Brave New World,1h 58m
A Working Man,1h 56m
A Complete Unknown,2h 21m
Gladiator II,2h 28m
Nosferatu,2h 12m
The Substance,2h 21m
Bullet Train Explosion,2h 14m
iHostage,1h 40m
Neighborhood Watch,1h 32m
Heretic,1h 51m
The Monkey,1h 38m
The Surfer,1h 40m
Locked,1h 35m
Winter Spring Summer or Fall,1h 37m
The Gorge,2h 7m
Gladiator,2h 35m
Novocaine,1h 50m
Pride & Prejudice,2h 9m
The Life List,2h 3m
Rogue One: A Star Wars Story,2h 13m
28 Years Later,
Together,1h 42m
The Shawshank Redemption,2h 22m
G20,1h 48m
Jewel Thief: The Heist Begins,
The Order,1h 56m
Last Breath,1h 33m
The Electric State,2h 5m
Lilo & Stitch,1h 48m
Now You See Me,1h 55m
Den of Thieves: Pantera,2h 24m
How to Train Your Dragon,2h 5m
Oppenheimer,3h
The Friend,1h 59m
Wicked,2h 40m
The King of Kings,1h 43m
The Brutalist,3h 36m
Cleaner,1h 37m
Interstellar,2h 49m
The Godfather,2h 55m
Barbarian,1h 42m
Black Widow,2h 14m
The Penguin Lessons,1h 51m
From the World of John Wick: Ballerina,
Twisters,2h 2m
The Two Popes,2h 5m
Once Upon a Time... in Hollywood,2h 41m
Top Gun: Maverick,2h 10m
Mufasa: The Lion King,1h 58m
Salvable,1h 41m
The Legend of Ochi,1h 35m
Kesari Chapter 2: The Untold Story of Jallianwala Bagh,
Tombstone,2h 10m
Kraven the Hunter,2h 7m
The Commitments,1h 58m
Deadpool & Wolverine,2h 8m
The Dark Knight,2h 32m
Trap,1h 45m
Inception,2h 28m
Karate Kid: Legends,
Deep Cover,1h 49m
A Real Pain,1h 30m
Speak No Evil,1h 50m
Love,2h 15m
Jurassic World Rebirth,2h 14m
Star Wars: Episode IV - A New Hope,2h 1m
Fear Street: Prom Queen,1h 28m
Den of Thieves,2h 20m
Mission: Impossible - Dead Reckoning Part One,2h 43m
Inglourious Basterds,2h 33m
Alien: Romulus,1h 59m
Harry Potter and the Sorcerer's Stone,2h 32m
Titanic,3h 14m
Pulp Fiction,2h 34m
The Wild Robot,1h 42m
Lolita,2h 17m
Mysterious Island,1h 41m
The Lord of the Rings: The Fellowship of the Ring,2h 58m
Final Destination,1h 38m
Virgin Territory,1h 37m
Now You See Me 2,2h 9m
The Wolf of Wall Street,3h
Star Wars: Episode I - The Phantom Menace,2h 16m
Dune: Part Two,2h 46m
Avengers: Endgame,3h 1m
The Hunger Games,2h 22m
The Bhootnii,
Heat,2h 50m
The Truman Show,1h 43m
Retro,
Fight or Flight,1h 37m
Flow,1h 25m
The Alto Knights,2h 3m
Screamboat,1h 42m
The Woman in the Yard,1h 28m
Moana 2,1h 40m
The Ugly Stepsister,
Sonic the Hedgehog 3,1h 50m
X,1h 45m
Wolf Man,1h 43m
Fight Club,2h 19m
In the Lost Lands,1h 41m
The Silence of the Lambs,1h 58m
No Hard Feelings,1h 43m
The Hunger Games: The Ballad of Songbirds & Snakes,2h 37m
"Sorry, Baby",1h 43m
Parasite,2h 12m
Schindler's List,3h 15m
Fountain of Youth,2h 5m
Midsommar,2h 28m
Civil War,1h 49m
Goodfellas,2h 25m
Smile 2,2h 7m
Parthenope,2h 17m
Clown in a Cornfield,1h 36m
Dazed and Confused,1h 43m
Se7en,2h 7m
I'm Still Here,2h 17m
The Life of Chuck,1h 50m
The Princess Bride,1h 38m
Primal Fear,2h 9m
Magazine Dreams,2h 3m
Anyone But You,1h 43m
28 Days Later,1h 53m
Forrest Gump,2h 22m
Longlegs,1h 41m
Poor Things,2h 21m
It Ends with Us,2h 10m
The Phoenician Scheme,1h 41m
The Ministry of Ungentlemanly Warfare,2h 2m
We Live in Time,1h 48m
The Shrouds,2h
365 Days,1h 54m
The Prestige,2h 10m
The Return,1h 56m
Jurassic Park,2h 7m
Mission: Impossible,1h 50m
On Swift Horses,1h 59m
Fifty Shades of Grey,2h 5m
The Batman,2h 56m
The Dark Knight Rises,2h 44m
Superboys of Malegaon,2h 7m
Friendship,1h 40m
Raiders of the Lost Ark,1h 55m
Jaat,
Django Unchained,2h 45m
Venom: The Last Dance,1h 50m
Spider-Man: Across the Spider-Verse,2h 20m
From Dusk Till Dawn,1h 48m
Heart Eyes,1h 37m
The Matrix,2h 16m
American Pie,1h 35m
Batman Begins,2h 20m
The Departed,2h 31m
The Gentlemen,1h 53m
Twilight,2h 2m
,
HIT: The 3rd Case,
Prey,1h 40m
The Apprentice,2h 2m
Holland,1h 50m
Juror #2,1h 54m
Gone Girl,2h 29m
Borbaad,
Back to the Future,1h 56m
Grease,1h 50m
The Goonies,1h 54m
The Assessment,1h 54m
Furiosa: A Mad Max Saga,2h 28m
Blade Runner 2049,2h 44m
Whiplash,1h 46m
Requiem for a Dream,1h 42m
Star Wars: Episode II - Attack of the Clones,2h 22m
The Passion of the Christ,2h 7m
Alien,1h 57m
Léon: The Professional,1h 50m
Adult Best Friends,
The Notebook,2h 3m
Good Will Hunting,2h 6m
No Country for Old Men,2h 2m
Spider-Man: No Way Home,2h 28m
Matilda,1h 38m
Wrath of Man,1h 59m
Blink Twice,1h 42m
Flight Risk,1h 31m
Hell of a Summer,1h 28m
Leave the World Behind,2h 18m
Thudarum,
All Ladies Do It,1h 37m
Strange Darling,1h 37m
Megalopolis,2h 18m
Pirates of the Caribbean: The Curse of the Black Pearl,2h 23m
Avengers: Infinity War,2h 29m
Donnie Darko,1h 53m
Prisoners,2h 33m
The Dreamers,1h 55m
Top Gun,1h 49m
Hurry Up Tomorrow,1h 45m
Paul,1h 44m
